"Object","Field Label","API Name","Data Type","Logic / Requirement","Picklist Values","Global (Y/N)"
"Asset Policy","Certificate Number","Cert_Number__c","Text(50)","Israel/EU Specific. Sometimes a specific car has a specific ""Green Card"" number under the master policy.","",""
"Asset Policy","Date Added","Date_Added__c","Date","Audit trail (When was this car added to the fleet policy?).","",""
"Citation","Citation ID","Name","Auto-Number","CIT-{00000}","",""
"Citation","Fleet Asset","Fleet_Asset__c","Master-Detail","Parent. Allows Roll-Up Summary of ""Total Fines"" to the Asset's lifecycle cost.","",""
"Citation","Driver","Driver__c","Lookup(Contact)","The human responsible.","",""
"Citation","Allocation (Trip)","Allocation__c","Lookup","Wolf Feature. Links to the specific Trip. Automation should auto-populate the Driver based on this link.","",""
"Citation","Citation Date/Time","Citation_Date__c","DateTime","Exact moment of infraction.","",""
"Citation","Ticket Number","Ticket_Number__c","Text(50)","The ID provided by the police/municipality (External ID).","",""
"Citation","Issuing Authority","Issuing_Authority__c","Text(100)","e.g., ""City of Tel Aviv"", ""California Highway Patrol"".","",""
"Citation","Violation Type","Violation_Type__c","Picklist","","Speeding, Parking, Red Light Camera, Toll Evasion, Expired Tags.",""
"Citation","Fine Amount","Fine_Amount__c","Currency(10,2)","The cost of the ticket.","",""
"Citation","Admin Fee","Admin_Fee__c","Currency(10,2)","Revenue Stream. Many fleets charge drivers a $25 processing fee for handling their tickets.","",""
"Citation","Total to Pay","Total_Amount__c","Formula","Fine_Amount__c + Admin_Fee__c.","",""
"Citation","Status","Status__c","Picklist","","New, Paid, Contested, Liability Transferred, Closed.",""
"Citation","Liability Status","Liability_Status__c","Picklist","Critical for Points management","Company Liable, Transferred to Driver, Driver Accepted.",""
"Citation","License Points","Points__c","Number(2,0)","How many points go on the license? Feeds the Contact.Safety_Score__c.","",""
"Citation","Payroll Deduct?","Deduct_From_Payroll__c","Checkbox","If True, sends this cost to the ERP/Payroll integration.","",""
"Citation","Court Date","Court_Date__c","Date","If status is ""Contested.""","",""
"Citation","Evidence/Scan","Standard Files","ContentDoc","Use Salesforce native Files for the PDF/Image of the ticket.","",""
"Schedule","Schedule Name","Name","Text(80)","e.g., ""TLV Standard 9-5"", ""JFK 24/7 Gate"", ""Night Shift A"".","",""
"Schedule","Type","Type__c","Picklist","Branch Hours, Asset Availability, Driver Shift.","",""
"Schedule","Time Zone","Time_Zone__c","Picklist","Critical. Must match the Branch/User timezone to calculate overlaps correctly.","",""
"Schedule","Is 24/7?","Is_24_7__c","Checkbox","Optimization. If True, the Availability Engine skips day-checking logic (Fastest query).","",""
"Schedule","Effective From","Effective_From__c","Date","Allows for seasonal schedules (e.g., ""Summer Hours"").","",""
"Schedule","Effective Until","Effective_Until__c","Date","","",""
"Schedule","Grace Period","Grace_Period_Mins__c","Number(3,0)","""How late can they be?"" (e.g., 15 mins).","",""
"Schedule","Total Weekly Hours","Total_Hours__c","Roll-Up Summary","Sum of Schedule_Window__c.Duration__c (Great for payroll audits).","",""
"Schedule Exception","Exception Name","Name","Text(80)","e.g., ""Yom Kippur"", ""Christmas Day"", ""Maintenance Closure"".","",""
"Schedule Exception","Fleet Schedule","Fleet_Schedule__c","Master-Detail","Link to the parent schedule.","",""
"Schedule Exception","Date","Exception_Date__c","Date","The specific calendar day.","",""
"Schedule Exception","Is Closed?","Is_Closed__c","Checkbox","If True, availability is 0 for this day.","",""
"Schedule Exception","Override Start","Start_Time__c","Time","Populated only if Is_Closed__c is False (Partial Day).","",""
"Schedule Exception","Override End","End_Time__c","Time","","",""
"Schedule Assignment","Assignment ID","Name","Auto-Number","SCH-A-{0000}","",""
"Schedule Assignment","Fleet Schedule","Fleet_Schedule__c","Master-Detail","Parent Template.","",""
"Schedule Assignment","Fleet Branch","Fleet_Branch__c","Lookup","If populated, this defines the Branch's Gate Hours.","",""
"Schedule Assignment","Fleet Asset","Fleet_Asset__c","Lookup","If populated, this defines when the car is allowed to be booked.","",""
"Schedule Assignment","Driver (Contact)","Driver__c","Lookup","If populated, this defines the Driver's working shift.","",""
"Schedule Assignment","Priority","Priority__c","Number(2,0)","Conflict Logic. If a Branch has 2 schedules, the higher priority wins (e.g., Holiday overrides Standard).","",""
"Schedule Window","Name","Name","Text (80)","Flow will populate this based on the data (e.g Wed 9-5)","",""
"Schedule Window","Fleet Schedule","Fleet_Schedule__c","Master-Detail","Parent Template.","",""
"Schedule Window","Day of Week","Day_OfWeek__c","Picklist","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday.","",""
"Schedule Window","Start Time","Start_Time__c","Time","","",""
"Schedule Window","End Time","End_Time__c","Time","","",""
"Schedule Window","Duration (Hrs)","Duration__c","Formula","(End_Time__c - Start_Time__c) / 3600000 (Used for the Roll-up Summary).","",""
"Schedule Window","Activity Type","Type__c","Picklist","Available, Break, Admin Time. (Allows tracking paid vs. unpaid time).","",""
